Xeno-canto Matched to eBird/Clements,No.Recordings,GenBank species,GB_Nucleotide_Seqs
Menura alberti,22,Menura alberti,1
Menura novaehollandiae,56,Menura novaehollandiae,122
Merganetta armata,7,Merganetta armata,584
Mergellus albellus,18,Mergellus albellus,18
Mergus australis,0,Mergus australis,0
Mergus merganser,126,Mergus merganser,1610
Mergus octosetaceus,12,Mergus octosetaceus,8
Mergus serrator,51,Mergus serrator,162
Mergus squamatus,2,Mergus squamatus,8
Meropogon forsteni,6,Meropogon forsteni,2
Merops albicollis,23,Merops albicollis,16
Merops americanus,NA,Merops americanus,5
Merops apiaster,387,Merops apiaster,718
Merops boehmi,10,Merops boehmi,13
Merops breweri,0,Merops breweri,8
Merops bullockoides,48,Merops bullockoides,9
Merops bulocki,15,Merops bulocki,12
Merops gularis,6,Merops gularis,9
Merops hirundineus,14,Merops hirundineus,22
Merops leschenaulti,28,Merops leschenaulti,9
Merops malimbicus,7,Merops malimbicus,7
Merops mentalis,4,Merops mentalis,3
Merops muelleri,1,Merops muelleri,3
Merops nubicoides,10,Merops nubicoides,11
Merops nubicus,13,Merops nubicus,69067
Merops oreobates,19,Merops oreobates,4
Merops orientalis,74,Merops orientalis,19
Merops ornatus,39,Merops ornatus,11
Merops persicus,75,Merops persicus,25
Merops philippinus,51,Merops philippinus,10
Merops pusillus,49,Merops pusillus,22
Merops revoilii,0,Merops revoilii,0
Merops superciliosus,19,Merops superciliosus,9
Merops variegatus,15,Merops variegatus,6
Merops viridis,28,Merops viridis,14
Merulaxis ater,96,Merulaxis ater,7
Merulaxis stresemanni,24,Merulaxis stresemanni,0
Mesembrinibis cayennensis,90,Mesembrinibis cayennensis,4
Mesitornis unicolor,12,Mesitornis unicolor,84341
Mesitornis variegatus,26,Mesitornis variegatus,1
Metabolus rugensis,1,Metabolus rugensis,1
Metallura aeneocauda,5,Metallura aeneocauda,9
Metallura baroni,5,Metallura baroni,9
Metallura eupogon,2,Metallura eupogon,12
Metallura iracunda,3,Metallura iracunda,0
Metallura odomae,13,Metallura odomae,9
Metallura phoebe,7,Metallura phoebe,9
Metallura theresiae,7,Metallura theresiae,9
Metallura tyrianthina,159,Metallura tyrianthina,309
Metallura williami,19,Metallura williami,13
Metopidius indicus,20,Metopidius indicus,9
Metopothrix aurantiaca,24,Metopothrix aurantiaca,10
Metriopelia aymara,8,Metriopelia aymara,10
Metriopelia ceciliae,5,Metriopelia ceciliae,14
Metriopelia melanoptera,14,Metriopelia melanoptera,44
Metriopelia morenoi,5,Metriopelia morenoi,15
Micrastur buckleyi,29,Micrastur buckleyi,10
Micrastur gilvicollis,92,Micrastur gilvicollis,38
Micrastur mintoni,62,Micrastur mintoni,38
Micrastur mirandollei,70,Micrastur mirandollei,19
Micrastur plumbeus,20,Micrastur plumbeus,21
Micrastur ruficollis,366,Micrastur ruficollis,56
Micrastur semitorquatus,267,Micrastur semitorquatus,759
Micrathene whitneyi,68,Micrathene whitneyi,8
Microbates cinereiventris,103,Microbates cinereiventris,88
Microbates collaris,60,Microbates collaris,77
Microcarbo africanus,3,Microcarbo africanus,0
Microcarbo coronatus,0,Microcarbo coronatus,0
Microcarbo melanoleucos,1,Microcarbo melanoleucos,12
Microcarbo niger,4,Microcarbo niger,2
Microcarbo pygmaeus,6,Microcarbo pygmaeus,13
Microcerculus bambla,49,Microcerculus bambla,18
Microcerculus marginatus,289,Microcerculus marginatus,119
Microcerculus philomela,54,Microcerculus philomela,0
Microcerculus ustulatus,35,Microcerculus ustulatus,3
Microchera albocoronata,5,Microchera albocoronata,6
Microdynamis parva,11,Microdynamis parva,0
Microeca fascinans,23,Microeca fascinans,35
Microeca flavigaster,29,Microeca flavigaster,20
Microeca flavovirescens,14,Microeca flavovirescens,6
Microeca griseoceps,3,Microeca griseoceps,7
Microeca hemixantha,4,Microeca hemixantha,0
Microeca papuana,13,Microeca papuana,9
Microgoura meeki,0,Microgoura meeki,0
Microhierax caerulescens,3,Microhierax caerulescens,21
Microhierax erythrogenys,3,Microhierax erythrogenys,23
Microhierax fringillarius,6,Microhierax fringillarius,6
Microhierax latifrons,2,Microhierax latifrons,4
Microhierax melanoleucos,3,Microhierax melanoleucos,8
Microligea palustris,5,Microligea palustris,108
Micromacronus leytensis,0,Micromacronus leytensis,5
Micromacronus sordidus,1,Micromacronus sordidus,8
Micromonacha lanceolata,47,Micromonacha lanceolata,0
Micronisus gabar,20,Micronisus gabar,8
Microparra capensis,1,Microparra capensis,6
Micropsitta bruijnii,10,Micropsitta bruijnii,2
Micropsitta finschii,8,Micropsitta finschii,48
Micropsitta geelvinkiana,2,Micropsitta geelvinkiana,0
Micropsitta keiensis,5,Micropsitta keiensis,2
Micropsitta meeki,1,Micropsitta meeki,0
Micropsitta pusio,5,Micropsitta pusio,18
Micropternus brachyurus,66,Micropternus brachyurus,27
Micropygia schomburgkii,50,Micropygia schomburgkii,3
Microrhopias quixensis,204,Microrhopias quixensis,27
Microspingus alticola,11,Microspingus alticola,9
Microspingus cabanisi,54,Microspingus cabanisi,69
Microspingus cinereus,33,Microspingus cinereus,6
Microspingus erythrophrys,19,Microspingus erythrophrys,0
Microspingus lateralis,35,Microspingus lateralis,86
Microspingus melanoleucus,37,Microspingus melanoleucus,15
Microspingus torquatus,37,Microspingus torquatus,14
Microspingus trifasciatus,5,Microspingus trifasciatus,2
Microstilbon burmeisteri,3,Microstilbon burmeisteri,6
Microxenops milleri,19,Microxenops milleri,18
Milvago chimachima,216,Milvago chimachima,24
Milvago chimango,64,Milvago chimango,35
Milvus migrans,249,Milvus migrans,263
Milvus milvus,76,Milvus milvus,196
Mimus dorsalis,16,Mimus dorsalis,19
Mimus gilvus,206,Mimus gilvus,67
Mimus graysoni,2,Mimus graysoni,5
Mimus gundlachii,23,Mimus gundlachii,14
Mimus longicaudatus,62,Mimus longicaudatus,24
Mimus macdonaldi,10,Mimus macdonaldi,62
Mimus melanotis,7,Mimus melanotis,35
Mimus parvulus,20,Mimus parvulus,282
Mimus patagonicus,35,Mimus patagonicus,27
Mimus polyglottos,386,Mimus polyglottos,88
Mimus saturninus,138,Mimus saturninus,39
Mimus thenca,27,Mimus thenca,12
Mimus trifasciatus,1,Mimus trifasciatus,67
Mimus triurus,26,Mimus triurus,20
Minla annectens,17,Minla annectens,14
Minla ignotincta,6,Minla ignotincta,38
Mino anais,8,Mino anais,13
Mino dumontii,27,Mino dumontii,8
Mino kreffti,28,Mino kreffti,8
Mionectes macconnelli,19,Mionectes macconnelli,62
Mionectes oleagineus,166,Mionectes oleagineus,241
Mionectes olivaceus,43,Mionectes olivaceus,16
Mionectes rufiventris,57,Mionectes rufiventris,192
Mionectes striaticollis,34,Mionectes striaticollis,20
Mirafra affinis,36,Mirafra affinis,3
Mirafra africana,164,Mirafra africana,8
Mirafra albicauda,3,Mirafra albicauda,0
Mirafra angolensis,13,Mirafra angolensis,4
Mirafra apiata,38,Mirafra apiata,5
Mirafra ashi,0,Mirafra ashi,0
Mirafra assamica,9,Mirafra assamica,6
Mirafra cantillans,15,Mirafra cantillans,6
Mirafra cheniana,37,Mirafra cheniana,2
Mirafra collaris,2,Mirafra collaris,0
Mirafra cordofanica,0,Mirafra cordofanica,0
Mirafra erythrocephala,30,Mirafra erythrocephala,3
Mirafra erythroptera,17,Mirafra erythroptera,5
Mirafra fasciolata,59,Mirafra fasciolata,3
Mirafra gilletti,6,Mirafra gilletti,0
Mirafra hypermetra,12,Mirafra hypermetra,2
Mirafra javanica,29,Mirafra javanica,15
Mirafra microptera,10,Mirafra microptera,4
Mirafra passerina,31,Mirafra passerina,6
Mirafra pulpa,2,Mirafra pulpa,0
Mirafra rufa,0,Mirafra rufa,0
Mirafra rufocinnamomea,33,Mirafra rufocinnamomea,5
Mirafra somalica,0,Mirafra somalica,0
Mirafra williamsi,0,Mirafra williamsi,3
Mitrephanes olivaceus,11,Mitrephanes olivaceus,14
Mitrephanes phaeocercus,86,Mitrephanes phaeocercus,13
Mitrospingus cassinii,62,Mitrospingus cassinii,4
Mitrospingus oleagineus,15,Mitrospingus oleagineus,6
Mitu mitu,0,Mitu mitu,42
Mitu salvini,16,Mitu salvini,10
Mitu tomentosum,19,Mitu tomentosum,16
Mitu tuberosum,28,Mitu tuberosum,33
Mixornis bornensis,68,Mixornis bornensis,5
Mixornis flavicollis,22,Mixornis flavicollis,5
Mixornis gularis,202,Mixornis gularis,57
Mixornis kelleyi,12,Mixornis kelleyi,0
Mniotilta varia,234,Mniotilta varia,44
Modulatrix stictigula,256,Modulatrix stictigula,21
Moho apicalis,0,Moho apicalis,4
Moho bishopi,0,Moho bishopi,5
Moho braccatus,0,Moho braccatus,4
Moho nobilis,0,Moho nobilis,18
Mohoua albicilla,26,Mohoua albicilla,31
Mohoua novaeseelandiae,14,Mohoua novaeseelandiae,22
Mohoua ochrocephala,19,Mohoua ochrocephala,60
Molothrus aeneus,66,Molothrus aeneus,16
Molothrus ater,269,Molothrus ater,31907
Molothrus bonariensis,173,Molothrus bonariensis,55
Molothrus oryzivorus,59,Molothrus oryzivorus,12
Molothrus rufoaxillaris,100,Molothrus rufoaxillaris,23
Momotus aequatorialis,61,Momotus aequatorialis,0
Momotus bahamensis,4,Momotus bahamensis,0
Momotus coeruliceps,14,Momotus coeruliceps,0
Momotus lessonii,71,Momotus lessonii,0
Momotus mexicanus,63,Momotus mexicanus,101
Momotus momota,151,Momotus momota,1683
Momotus subrufescens,49,Momotus subrufescens,0
Monachella muelleriana,5,Monachella muelleriana,7
Monarcha castaneiventris,29,Monarcha castaneiventris,560
Monarcha cinerascens,10,Monarcha cinerascens,36
Monarcha erythrostictus,7,Monarcha erythrostictus,4
Monarcha frater,3,Monarcha frater,7
Monarcha godeffroyi,2,Monarcha godeffroyi,1
Monarcha melanopsis,26,Monarcha melanopsis,27
Monarcha richardsii,16,Monarcha richardsii,10
Monarcha takatsukasae,1,Monarcha takatsukasae,15
Monasa atra,36,Monasa atra,6
Monasa flavirostris,26,Monasa flavirostris,1
Monasa morphoeus,91,Monasa morphoeus,10
Monasa nigrifrons,101,Monasa nigrifrons,6
Monias benschi,2,Monias benschi,33
Montecincla cachinnans,5,Montecincla cachinnans,25
Montecincla fairbanki,14,Montecincla fairbanki,51
Montecincla jerdoni,1,Montecincla jerdoni,20
Montecincla meridionalis,0,Montecincla meridionalis,19
Monticola angolensis,6,Monticola angolensis,4
Monticola brevipes,3,Monticola brevipes,25
Monticola cinclorhyncha,17,Monticola cinclorhyncha,8
Monticola explorator,4,Monticola explorator,2
Monticola gularis,14,Monticola gularis,22
Monticola imerina,18,Monticola imerina,7
Monticola rufiventris,16,Monticola rufiventris,7
Monticola rufocinereus,6,Monticola rufocinereus,8
Monticola rupestris,31,Monticola rupestris,3
Monticola saxatilis,79,Monticola saxatilis,14
Monticola sharpei,19,Monticola sharpei,139
Monticola solitarius,183,Monticola solitarius,49
Montifringilla adamsi,2,Montifringilla adamsi,35
Montifringilla blanfordi,5,Montifringilla blanfordi,33
Montifringilla davidiana,4,Montifringilla davidiana,13
Montifringilla henrici,14,Montifringilla henrici,8
Montifringilla nivalis,85,Montifringilla nivalis,98
Montifringilla ruficollis,13,Montifringilla ruficollis,85
Montifringilla taczanowskii,16,Montifringilla taczanowskii,73
Montifringilla theresae,0,Montifringilla theresae,0
Morococcyx erythropygus,47,Morococcyx erythropygus,0
Morphnarchus princeps,35,Morphnarchus princeps,14
Morphnus guianensis,11,Morphnus guianensis,12
Morus bassanus,68,Morus bassanus,77
Morus capensis,11,Morus capensis,42
Morus serrator,4,Morus serrator,43
Motacilla aguimp,85,Motacilla aguimp,63
Motacilla alba,930,Motacilla alba,883
Motacilla bocagii,3,Motacilla bocagii,12
Motacilla capensis,46,Motacilla capensis,57
Motacilla cinerea,511,Motacilla cinerea,172
Motacilla citreola,223,Motacilla citreola,414
Motacilla clara,30,Motacilla clara,11
Motacilla flava,1158,Motacilla flava,574
Motacilla flaviventris,17,Motacilla flaviventris,9
Motacilla grandis,70,Motacilla grandis,12
Motacilla maderaspatensis,43,Motacilla maderaspatensis,5
Motacilla samveasnae,10,Motacilla samveasnae,0
Motacilla tschutschensis,119,Motacilla tschutschensis,556
Mulleripicus fuliginosus,NA,Mulleripicus fuliginosus,12
Mulleripicus fulvus,21,Mulleripicus fulvus,2
Mulleripicus funebris,9,Mulleripicus funebris,28
Mulleripicus pulverulentus,97,Mulleripicus pulverulentus,13
Mundia elpenor,0,Mundia elpenor,0
Muscicapa adusta,63,Muscicapa adusta,17
Muscicapa aquatica,14,Muscicapa aquatica,22
Muscicapa cassini,2,Muscicapa cassini,11
Muscicapa dauurica,303,Muscicapa dauurica,36
Muscicapa epulata,1,Muscicapa epulata,0
Muscicapa ferruginea,18,Muscicapa ferruginea,13
Muscicapa gambagae,8,Muscicapa gambagae,4
Muscicapa griseisticta,184,Muscicapa griseisticta,14
Muscicapa muttui,1,Muscicapa muttui,23
Muscicapa randi,0,Muscicapa randi,0
Muscicapa segregata,3,Muscicapa segregata,0
Muscicapa sethsmithi,7,Muscicapa sethsmithi,12
Muscicapa sibirica,35,Muscicapa sibirica,29
Muscicapa sodhii,0,Muscicapa sodhii,2
Muscicapa striata,702,Muscicapa striata,447
Muscicapa williamsoni,1,Muscicapa williamsoni,0
Muscigralla brevicauda,18,Muscigralla brevicauda,10
Muscipipra vetula,48,Muscipipra vetula,6
Muscisaxicola albifrons,2,Muscisaxicola albifrons,10
Muscisaxicola albilora,13,Muscisaxicola albilora,8
Muscisaxicola alpinus,8,Muscisaxicola alpinus,10
Muscisaxicola capistratus,7,Muscisaxicola capistratus,13
Muscisaxicola cinereus,1,Muscisaxicola cinereus,13
Muscisaxicola flavinucha,4,Muscisaxicola flavinucha,13
Muscisaxicola fluviatilis,0,Muscisaxicola fluviatilis,8
Muscisaxicola frontalis,1,Muscisaxicola frontalis,12
Muscisaxicola griseus,1,Muscisaxicola griseus,8
Muscisaxicola juninensis,1,Muscisaxicola juninensis,2
Muscisaxicola maclovianus,5,Muscisaxicola maclovianus,21
Muscisaxicola maculirostris,17,Muscisaxicola maculirostris,15
Muscisaxicola rufivertex,4,Muscisaxicola rufivertex,14
Musophaga rossae,30,Musophaga rossae,48
Musophaga violacea,15,Musophaga violacea,27
Mustelirallus albicollis,107,Mustelirallus albicollis,5
Mustelirallus colombianus,1,Mustelirallus colombianus,0
Mustelirallus erythrops,43,Mustelirallus erythrops,6
Myadestes coloratus,13,Myadestes coloratus,12
Myadestes elisabeth,19,Myadestes elisabeth,4
Myadestes genibarbis,28,Myadestes genibarbis,35
Myadestes lanaiensis,0,Myadestes lanaiensis,0
Myadestes melanops,51,Myadestes melanops,12
Myadestes myadestinus,0,Myadestes myadestinus,2
Myadestes obscurus,27,Myadestes obscurus,6
Myadestes occidentalis,186,Myadestes occidentalis,40
Myadestes palmeri,3,Myadestes palmeri,0
Myadestes ralloides,266,Myadestes ralloides,39
Myadestes townsendi,101,Myadestes townsendi,29
Myadestes unicolor,74,Myadestes unicolor,26
Myadestes woahensis,NA,Myadestes woahensis,0
Mycerobas affinis,18,Mycerobas affinis,4
Mycerobas carnipes,35,Mycerobas carnipes,12
Mycerobas icterioides,9,Mycerobas icterioides,1
Mycerobas melanozanthos,8,Mycerobas melanozanthos,2
Mycteria americana,17,Mycteria americana,116
Mycteria cinerea,1,Mycteria cinerea,1
Mycteria ibis,2,Mycteria ibis,6
Mycteria leucocephala,13,Mycteria leucocephala,9
Myiagra albiventris,1,Myiagra albiventris,12
Myiagra alecto,66,Myiagra alecto,43
Myiagra atra,14,Myiagra atra,6
Myiagra azureocapilla,2,Myiagra azureocapilla,11
Myiagra caledonica,6,Myiagra caledonica,18
Myiagra castaneigularis,3,Myiagra castaneigularis,14
Myiagra cervinicauda,7,Myiagra cervinicauda,11
Myiagra cyanoleuca,6,Myiagra cyanoleuca,29
Myiagra erythrops,10,Myiagra erythrops,18
Myiagra ferrocyanea,16,Myiagra ferrocyanea,44
Myiagra freycineti,0,Myiagra freycineti,4
Myiagra galeata,25,Myiagra galeata,4
Myiagra hebetior,2,Myiagra hebetior,49
Myiagra inquieta,29,Myiagra inquieta,32
Myiagra nana,9,Myiagra nana,22
Myiagra oceanica,5,Myiagra oceanica,4
Myiagra pluto,2,Myiagra pluto,10
Myiagra rubecula,51,Myiagra rubecula,37
Myiagra ruficollis,28,Myiagra ruficollis,78
Myiagra vanikorensis,17,Myiagra vanikorensis,20
Myiarchus antillarum,8,Myiarchus antillarum,8
Myiarchus apicalis,34,Myiarchus apicalis,0
Myiarchus barbirostris,4,Myiarchus barbirostris,4
Myiarchus cephalotes,58,Myiarchus cephalotes,2
Myiarchus cinerascens,240,Myiarchus cinerascens,13
Myiarchus crinitus,245,Myiarchus crinitus,10
Myiarchus ferox,163,Myiarchus ferox,27
Myiarchus magnirostris,3,Myiarchus magnirostris,19
Myiarchus nugator,1,Myiarchus nugator,14
Myiarchus nuttingi,144,Myiarchus nuttingi,8
Myiarchus oberi,3,Myiarchus oberi,10
Myiarchus panamensis,13,Myiarchus panamensis,5
Myiarchus phaeocephalus,14,Myiarchus phaeocephalus,3
Myiarchus sagrae,20,Myiarchus sagrae,11
Myiarchus semirufus,5,Myiarchus semirufus,1
Myiarchus stolidus,6,Myiarchus stolidus,21
Myiarchus swainsoni,152,Myiarchus swainsoni,67
Myiarchus tuberculifer,402,Myiarchus tuberculifer,33
Myiarchus tyrannulus,510,Myiarchus tyrannulus,109
Myiarchus validus,3,Myiarchus validus,9
Myiarchus venezuelensis,6,Myiarchus venezuelensis,1
Myiarchus yucatanensis,14,Myiarchus yucatanensis,7
Myiobius atricaudus,23,Myiobius atricaudus,10
Myiobius barbatus,37,Myiobius barbatus,31
Myiobius sulphureipygius,15,Myiobius sulphureipygius,10
Myiobius villosus,10,Myiobius villosus,6
Myioborus albifacies,0,Myioborus albifacies,21
Myioborus albifrons,11,Myioborus albifrons,20
Myioborus brunniceps,39,Myioborus brunniceps,34
Myioborus cardonai,0,Myioborus cardonai,11
Myioborus castaneocapilla,15,Myioborus castaneocapilla,26
Myioborus flavivertex,22,Myioborus flavivertex,19
Myioborus melanocephalus,69,Myioborus melanocephalus,29
Myioborus miniatus,303,Myioborus miniatus,102
Myioborus ornatus,109,Myioborus ornatus,26
Myioborus pariae,4,Myioborus pariae,11
Myioborus pictus,163,Myioborus pictus,21
Myioborus torquatus,18,Myioborus torquatus,17
Myiodynastes bairdii,35,Myiodynastes bairdii,0
Myiodynastes chrysocephalus,164,Myiodynastes chrysocephalus,0
Myiodynastes hemichrysus,7,Myiodynastes hemichrysus,2
Myiodynastes luteiventris,181,Myiodynastes luteiventris,9
Myiodynastes maculatus,279,Myiodynastes maculatus,19
Myiomela diana,11,Myiomela diana,5
Myiomela leucura,44,Myiomela leucura,21
Myiopagis caniceps,168,Myiopagis caniceps,24
Myiopagis cotta,1,Myiopagis cotta,0
Myiopagis flavivertex,45,Myiopagis flavivertex,12
Myiopagis gaimardii,124,Myiopagis gaimardii,19
Myiopagis olallai,48,Myiopagis olallai,6
Myiopagis subplacens,41,Myiopagis subplacens,4
Myiopagis viridicata,187,Myiopagis viridicata,49
Myiophobus cryptoxanthus,43,Myiophobus cryptoxanthus,6
Myiophobus fasciatus,179,Myiophobus fasciatus,16
Myiophobus flavicans,63,Myiophobus flavicans,6
Myiophobus inornatus,8,Myiophobus inornatus,0
Myiophobus phoenicomitra,33,Myiophobus phoenicomitra,6
Myiophobus roraimae,31,Myiophobus roraimae,18
Myiopsitta monachus,172,Myiopsitta monachus,386
Myiornis albiventris,27,Myiornis albiventris,0
Myiornis atricapillus,62,Myiornis atricapillus,1
Myiornis auricularis,124,Myiornis auricularis,4
Myiornis ecaudatus,93,Myiornis ecaudatus,13
Myiotheretes fumigatus,57,Myiotheretes fumigatus,8
Myiotheretes fuscorufus,9,Myiotheretes fuscorufus,7
Myiotheretes pernix,18,Myiotheretes pernix,5
Myiotheretes striaticollis,58,Myiotheretes striaticollis,8
Myiothlypis basilica,20,Myiothlypis basilica,3
Myiothlypis bivittata,70,Myiothlypis bivittata,20
Myiothlypis chrysogaster,51,Myiothlypis chrysogaster,9
Myiothlypis cinereicollis,32,Myiothlypis cinereicollis,10
